customer_id,customer_name,email,country,signup_date
101,Alice Nguyen,alice.nguyen@example.com,Australia,2023-01-12
102,Brian Kelly,brian.kelly@example.com,United States,2023-02-03
103,Carla Mendes,carla.mendes@example.com,Brazil,2023-02-20
104,Dev Patel,dev.patel@example.com,India,2023-03-01
105,Elena Rossi,elena.rossi@example.com,Italy,2023-03-15
106,Farid Haidari,farid.haidari@example.com,Germany,2023-04-02
107,Grace Kim,grace.kim@example.com,South Korea,2023-04-18
108,Hassan Ali,hassan.ali@example.com,United Arab Emirates,2023-05-05
109,Ines Duarte,ines.duarte@example.com,Portugal,2023-05-22
110,Jack Thompson,jack.thompson@example.com,United Kingdom,2023-06-10
111,Karen Ochieng,karen.ochieng@example.com,Kenya,2023-06-28
112,Liam O'Connor,liam.oconnor@example.com,Ireland,2023-07-14
